date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2017-08-15,BHF,57.48,59.0,57.11,58.01,1815953,0.6725082173052693,0.6729099543317038,-2.633974187802141,-2.045640258913452,-1.6963249348971474,-1.1648523061376566,3.1792736803442154,1.063659718562458,-2.6830730743543305,0.4311799471770992,-0.0014880232975741,-1.283105990410894,-0.688748174516369,0.6703161237287224,1.12397042560495
2017-08-16,BHF,57.51,58.72,56.97,57.5,3090574,-0.5803430370919528,-0.5715313137484092,-2.611198259484861,-2.008832018047375,-1.70584747041598,-0.9574234351817602,3.237282576580808,1.049973976257702,-2.790075077987955,1.7751912589826202,-0.000784725262823,-1.316236069721534,0.6722327006098352,-0.0394537070292548,0.9451370314053168
2017-08-17,BHF,57.05,57.58,55.16,55.97,1922733,-1.6896012147530055,-1.6946147397374962,-3.0046205905699943,-2.058859492833676,-1.7550730136070316,-0.8936751966933335,3.3867248336870035,1.089966855473789,-2.932254509510686,0.2001278598057301,-0.0009981431159666,-1.6539517239238597,-0.5809453888476129,-1.4565694513507856,2.0121222163878296
2017-08-18,BHF,55.69,57.92,55.18,57.45,2680992,1.6132768799051778,1.5911922074017362,-2.1646426852363096,-1.5877583754859834,-1.717733455748639,-0.6198595259862327,3.3554587741592177,1.269673405280186,-2.625877629956818,0.8625581291826033,-0.0015561053392633,-1.3272725290091911,-1.6904929420127643,2.361385763428536,2.3835055872724134
2017-08-21,BHF,57.0,57.94,56.62,56.86,1482007,-0.6723736257176977,-0.6639378756502642,-2.1790444401046587,-1.696717644363183,-1.693535525486979,-0.4346333126264781,3.2872013881553928,1.260572786580852,-2.737867100692866,-0.4987763400479523,-0.0010474151505839,-1.4365342450482428,1.6132467843492608,-0.2118823389680333,0.3434269644037945
2017-08-22,BHF,56.92,57.8,56.57,57.21,1202553,0.3502314125322347,0.3551781284887575,-1.7954216840077413,-1.4939751166138608,-1.6433367967874624,-0.2195267343533726,3.107302279616836,1.2795454573503144,-2.676961280455394,-0.827787225104167,-0.0013907588825966,-1.353986776165438,-0.6729999857687324,0.3586099722749923,0.2004827218129082
2017-08-23,BHF,56.76,57.29,56.24,56.65,1272269,-0.6424087506063938,-0.6338354406911084,-1.7858670127981309,-1.4621308931539712,-1.608744628750472,-0.0876124902192935,2.844090154020678,1.2632282504573729,-2.8108526278121917,-0.7969362405630535,-0.0010772491799087,-1.484073544926291,0.3498718225212113,-0.1727347391500812,-0.0466124754973314
2017-08-24,BHF,56.39,56.64,55.11,55.32,1312191,-1.4946587063016397,-1.495761323174409,-2.108693021701886,-1.722715621561598,-1.6167325284400251,-0.0916814562406709,2.644587715082598,1.2856213814330084,-2.9060864775445943,-0.7970967970526021,-0.0010816589172987,-1.7823067833508497,-0.6430272936306848,-1.4599113393224636,0.7136564787433859
2017-08-25,BHF,55.53,56.63,54.9,55.54,1080305,0.2145955738985438,0.2209660731806915,-1.7714481617140996,-1.3916865579106006,-1.5976837932372798,-0.0253447962702628,2.3831512102158325,1.312325080265431,-2.7265961937650625,-1.042917848330767,-0.0013680263168546,-1.715093708377483,-1.495499578325179,-0.0127109709589634,1.0046373237758697
2017-08-28,BHF,55.78,55.975,55.16,55.34,720494,-0.2571877517250092,-0.2481438398786923,-1.6376394602595403,-0.6259112236950879,-1.57401058492025,0.0396278458937056,2.1473548930171003,1.3022044776815267,-2.539577220402407,-1.3869894074521627,-0.0011551776241459,-1.7590084811965383,0.2142006001599365,-0.6222790010268213,-0.363951288675312
2017-08-29,BHF,55.25,55.87,54.7701,55.76,1221183,0.4395080362652968,0.4433591089017075,-1.2254790175015775,-0.4518679090010761,-1.5228615714110336,0.1623282092041534,1.7287335348926838,1.3177584468440888,-2.4929396583527432,-0.9594970403823764,-0.001386531457456,-1.5898380863670387,-0.2577058009932155,0.6710845429343543,0.0526253658450402
2017-08-30,BHF,55.48,57.47,55.35,57.1,1200353,1.4631619599629242,1.4455754762501625,-0.4479153501016699,-0.5886979076998718,-1.4149742620047692,0.4065318967635798,1.2932265748402545,1.4311594635358735,-1.930587147707512,-1.0028951774079062,-0.001391804790576,-1.159487058720258,0.4391717361145757,2.179773787284585,1.5029426746732557
2017-08-31,BHF,57.06,57.4,56.21,57.07,1722761,-0.0657060452400984,-0.0573184541475114,-0.3053687097860294,-0.4590287538403491,-1.317166129399418,0.575951219234721,0.8417245008579001,1.4260625507456706,-1.7577548897456747,-0.6019600584967612,-0.0010165759818637,-1.1375907726848946,1.4630927034781038,-0.0130757893473322,0.1464651743008781
2017-09-01,BHF,56.9,57.98,56.36,57.49,945958,0.4251847130268557,0.4292200233545248,0.0491049297660259,-0.1492162982145452,-1.210861200342618,0.7333572850085822,0.0234007194943645,1.4201672179945175,-1.7778342455135578,-1.2621771168393865,-0.0013575219366576,-0.7622986684053591,-0.0661741421018626,0.7570850878919333,0.7571226450602803
2017-09-05,BHF,57.19,57.19,53.69,54.08,2855653,-3.7258105824525103,-3.81076707983056,-1.3503701808087123,-1.123566476333378,-1.2481250097606365,0.4897386762740825,-0.303362183625544,1.610154990976424,-1.9854490547051131,0.8030285023164394,-0.0008811540664722,-1.71530652409691,0.4248446763078894,-4.134832932198571,3.8024077370924343
2017-09-06,BHF,54.33,54.59,52.94,53.18,1781390,-1.069095039884547,-1.063866238791953,-1.6857665539872404,-1.1849604598337953,-1.2997898856517145,0.2577756920936458,-0.0204255424373769,0.8259492181192462,-1.1276520676078896,-0.1591233766838533,-0.0010431628627707,-1.7595007136486605,-3.727233501750422,-1.6255168625523786,0.9944680826121745
2017-09-07,BHF,53.36,53.68,52.751,53.0,1359607,-0.2437227589175195,-0.2347057583904979,-1.688139621247394,-0.9545935744400428,-1.3341357388884172,0.1167841709213471,0.2182720228325392,0.8259563257271226,-1.130699167770462,-0.4759334789856212,-0.0011006256518174,-1.7584772617560351,-1.0698248938394563,-0.5360362408427753,-0.1305001596437334
2017-09-08,BHF,53.0,54.592,52.95,54.54,1039377,1.776011084265481,1.748664186677447,-0.8815906230281614,-0.9352097045211656,-1.2876008822667144,0.2121765088287427,0.1874096131679969,0.7991699493904291,-1.1616433786466878,-0.7652988409441536,-0.0013460369539252,-0.9296367954136944,-0.2442372955327116,2.168961734940192,0.917764672912526
2017-09-11,BHF,55.08,56.0,54.83,55.11,1125997,0.617665514964252,0.6189556762728446,-0.5495364854813286,-0.6385305552378601,-1.2159681791804378,0.3530918039047016,0.143510138421362,0.8227552201390709,-0.8920505502382071,-0.6318197705341035,-0.0013589769986915,-0.6264229249796693,1.7760234416690008,0.0148336589277952,0.178024771439978
2017-09-12,BHF,55.11,55.98,54.53,55.19,1339437,0.0573803496154465,0.0650362470150464,-0.4618976146221327,-0.7203971605031328,-1.144552743590716,0.4652647971695136,0.1210326319639288,0.8124365271147035,-0.723087348157761,-0.3073652448852933,-0.0013870640228392,-0.5838665922871755,0.6173756912887517,0.0833576065186102,0.5982801193040446
2017-09-13,BHF,54.91,55.4,54.77,55.35,848884,0.1474947342589083,0.1544618814540782,-0.3248655698785109,-0.5436516060287525,-1.0710088122767054,0.560481903134447,0.0353803249968227,0.7860255770849645,-0.8409163863407899,-0.9082275664383406,-0.0013392153725413,-0.4338999010457123,0.0569443626702701,0.579088393064674,-0.6427287530960311
2017-09-14,BHF,55.12,55.69,54.95,55.62,1115182,0.2707017008438042,0.2765185334194054,-0.1536718640701505,-0.0982394760798276,-0.99235557892357,0.6498068434004314,-0.0281830130767189,0.7853174227355538,-0.6476632643994825,-0.4474293506970633,-0.0013740572889836,-0.057421195859186,0.1470822557232329,0.6590225743310889,-0.4825098784141635
2017-09-15,BHF,55.5,56.59,55.24,56.56,1680274,1.0191894162914177,1.0128914093107204,0.2752032681497569,0.0983258234991082,-0.8845278849832481,0.7963613549375239,-0.0145979733066593,0.7167213013844131,-0.012660722880267,0.382553756603899,-0.0014504468225325,0.5401559020937612,0.2703213636786248,1.416654481039068,0.3978939203941457
2017-09-18,BHF,56.75,57.4,56.4063,57.21,1086316,0.6824870611575629,0.6827220922720268,0.5871661319498539,0.3160302031592339,-0.7663545819635795,0.9402343838417558,-0.0311804548310105,0.6153273548248964,-0.2288306813821799,-0.3804872901315516,-0.0013878802614852,0.9533741081250514,1.019004339359006,0.586085584366835,-0.1437480944840852
2017-09-19,BHF,57.09,57.31,56.77,56.93,989375,-0.337702396829047,-0.3285584847095804,0.4535691625830604,0.1310921202503621,-0.6776060830442016,0.9795938677476748,-0.0276413486332943,0.5999506851102552,-0.1493964279702769,-0.5001349103180717,-0.001103194391282,0.7753724193731099,0.6822141476730207,-0.2380574095982562,-0.8008081074716515
2017-09-20,BHF,56.55,57.54,56.5,57.49,723273,0.579413951664685,0.5812959174369653,0.7105727623925716,-0.0739663189813111,-0.580240592501862,1.0332614429717175,-0.0081777220624671,0.6104840349144263,-0.0955973156430348,-0.8941511173020487,-0.0013398177678244,1.1313757968769929,-0.3382414501939403,1.2295398249339475,-0.083679203361687
