date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2013-03-11,BSX,7.47,7.52,7.33,7.5,13266897,0.050125502340261,0.0578312283014507,0.1504842919240353,-0.1889912872378273,-0.1674346418172013,0.0340021017681635,-0.563469265186428,-0.2871537641733033,-0.5489457683710653,-0.6787166706534916,-0.0020244963403624,0.0896721086322231,0.4694322447045341,0.2771042730830358,0.5199778662490339
2013-03-12,BSX,7.48,7.645,7.46,7.59,19515030,0.7141004069312409,0.7137970452815968,0.4759049874810689,0.8154662589882224,-0.1599938789573995,0.0453233291528452,-0.5928808564449792,-0.260706976723743,-0.2444706562310385,-0.0062700428945438,-0.002843668791197,0.6191877517646548,0.0496876228013407,1.0847391132699564,0.4400409157754374
2013-03-13,BSX,7.58,7.58,7.45,7.53,7493354,-0.5251544422499458,-0.5161833324145031,0.2744902566979187,0.6852179178292427,-0.1563521678510332,0.0446016172464618,-0.6269642697214741,-0.251112667162863,-0.2835761553914513,-1.2154332516870232,0.0002100940110674,0.6464602588472925,0.713835740514923,-0.5246792498022873,-0.1525042848314067
2013-03-14,BSX,7.58,7.58,7.48,7.52,8545466,-0.1156760397297662,-0.1070604868768599,0.2265661990688851,0.3566399724405193,-0.1537830661097974,0.0412633696800666,-0.6086258162081108,-0.3514767710765684,-0.0294825247083324,-1.026005154660138,-0.0001552074908547,0.5772064768172357,-0.5257423967915267,-0.6243517895918322,-0.4830677923108451
2013-03-15,BSX,7.48,7.49,7.36,7.39,13346381,-1.1092653083196764,-1.1045056264545816,-0.2084638299327987,0.4002904732147863,-0.1567524613402939,0.024336775764806,-0.6319199660279231,-0.2996074749250021,-0.4405336472650194,-0.3996071645115482,-2.2414779241229945e-05,-0.3230926895734398,-0.116157172413701,-0.9353620942292444,-0.125246538455853
2013-03-18,BSX,7.3,7.39,7.295,7.32,9509870,-0.6227203495334965,-0.6140646201153,-0.4177354142191882,-0.1516949732851276,-0.1616928675649602,0.0057221522638003,-0.6498813188134501,-0.2811495989867201,-0.5959969621843434,-0.8418325995073607,-0.0006387553990356,-0.8078691637837997,-1.1100056416128612,0.1806746413658733,-0.5097143871797031
2013-03-19,BSX,7.35,7.43,7.24,7.27,11274146,-0.4582558620310649,-0.4491578161191382,-0.5548837085876707,-0.4045821752082981,-0.1673430695808345,-0.0109965486847121,-0.6355112770828933,-0.2770706310248439,-0.6178644682753132,-0.5756598633916902,-0.000654676373171,-1.154138073934065,-0.623333756385614,-0.8486489063427075,0.5867728326268279
2013-03-20,BSX,7.31,7.52,7.3,7.45,14122213,1.5084684342171006,1.4895604369715056,0.0555714018535112,-0.0009226402848636,-0.1645363489841901,-0.0026035362215677,-0.6546469849798912,-0.3220098553983248,0.1548615856690864,-0.1456469082575897,-0.0018505080075737,0.0924300026068758,-0.4588263645395987,1.420639662889021,0.8697484515556841
2013-03-21,BSX,7.41,7.49,7.345,7.37,15274225,-0.701538727600195,-0.6932509269814219,-0.2475530582619601,-0.1889912872378273,-0.1652516743964695,-0.0049548120473555,-0.6985115818156601,-0.2892181588468445,0.0550465278377416,0.0549418069975574,-0.0004009883943679,-0.4816474010632923,1.508410996967955,-0.4341534478072026,0.0483537917146418
2013-03-22,BSX,7.38,7.48,7.35,7.4,10343310,0.2204288042966569,0.2267440622462907,-0.1465496458790956,-0.0734458440118244,-0.1644385010452006,-0.0029015032031302,-0.7016629688371587,-0.3488623320671466,-0.1076945229082275,-0.5939926780347488,-0.0016800563205452,-0.2716990934353434,-0.7021726960387354,0.1784308344041337,-0.1272277240756107
2013-03-25,BSX,7.42,7.43,7.285,7.32,11806207,-0.7060559079011965,-0.6977922635605884,-0.4457414087203105,-0.3526806651413307,-0.1667168375236747,-0.0092163492103564,-0.7599334338119487,-0.4270083156520105,0.015343168772694,-0.3734916241250918,-0.0006501217008796,-0.8315612471098697,0.2200353522903397,-1.044534679701899,0.0595537759277361
2013-03-26,BSX,7.32,7.46,7.28,7.44,14323288,0.987627522498766,0.9820165869461618,-0.043913483256748,-0.411361762880321,-0.1636099064791521,-0.0004066401172522,-0.7869506764396277,-0.3837499895520145,0.0937065574532397,0.0228335241740237,-0.0018351381170702,0.0082319834019197,-0.7066910547500954,1.2122373042350767,0.4249872096644499
