date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2013-03-11,DGX,55.92,56.52,55.776,56.25,1168539,0.3120163206336637,0.3173936113681935,-0.1932582858069534,-0.9726752779428526,-0.3993285282239656,0.0563559197636309,-0.7724928763592326,-0.7103329380806991,-0.7323442388798119,-0.0857388118784176,-0.0016838737240546,-0.8663566015486753,0.5508573677729,0.419536258568775,-0.4890021343331994
2013-03-12,DGX,56.28,56.84,55.962,56.2,1826522,-0.0883365208282107,-0.0798407394371462,-0.1763620117992848,-0.6379678666302971,-0.3809545292864701,0.0913483450017502,-0.8862742155032486,-0.7359709540474056,-0.6060706087276986,0.895282411639032,-0.0004227971772918,-0.6241577674531663,0.3116467613371258,-0.1337107017578929,-0.2893083406550126
2013-03-13,DGX,56.27,56.36,55.82,55.99,903857,-0.2656328379752121,-0.2565735361477387,-0.2535897783827143,-0.3004770257018365,-0.3720648923843668,0.0949297005827894,-0.8985288296418036,-0.8566522915703649,-0.3972770388711524,-0.5456444748577487,-0.0009295051490734,-0.8556259539941125,-0.0888105213699416,-0.4022628782925164,-0.7875363653349226
2013-03-14,DGX,56.13,56.73,55.85,56.5,1381490,0.5340980652582696,0.5366514680667758,-0.0047366607406222,0.3879817158163018,-0.3426941938843354,0.1505126850270923,-0.922232028659216,-0.8171011750444342,-0.2886403387530675,0.2143668718204739,-0.0016728751484313,-0.2253907926202601,-0.2661530903383697,0.4717087566346903,-0.2932715786863609
2013-03-15,DGX,56.34,56.62,56.06,56.22,1025573,-0.3415314501243037,-0.3323853850255618,-0.1281436222086124,0.2382379890903188,-0.3283484237262589,0.1563051656787034,-0.9265454109588924,-0.831735386278673,-0.2480152541651197,-0.3173861848546641,-0.0008647904253872,-0.5714022537666915,0.5337864410917998,-0.1872362210579475,-0.7611765992503262
2013-03-18,DGX,55.9,56.02,55.48,55.52,965754,-0.8081761613193061,-0.8005476031060369,-0.4132921291173826,-0.3707081296681459,-0.3422788016198276,0.0881568318780669,-0.9734293377683184,-0.8714330639526618,-0.6286735500794586,-0.4050557933034218,-0.0009294858623716,-1.4364309066327612,-0.3420715023858017,-0.5399065036449066,-0.780731968002023
2013-03-19,DGX,55.71,56.62,55.69,56.25,1677176,0.7855984701680764,0.7840199867176789,-0.041825158648334,-0.1408866537314923,-0.3225669053940031,0.1202327992820705,-1.1155266692703922,-0.7906339641659661,-0.4967374446495974,0.7193169195764745,-0.0017315013371473,-0.4023812032853933,-0.8088379485846622,0.7060109305069852,-0.2134216936455397
2013-03-20,DGX,56.5,56.85,56.25,56.51,2509461,0.2547744413861644,0.2607535130159341,0.0876303712315243,0.0051519284151649,-0.2950080917407912,0.1660914035817044,-1.1505491645691857,-0.8356830491296341,-0.2527436868883189,1.8739014839851929,-0.0021304046152467,0.6118333678322593,0.7853524556657204,-0.0129445534810655,-0.7064448412112893
2013-03-21,DGX,56.31,56.63,56.0,56.3,745934,-0.2643566495762331,-0.2552995998086425,-0.0146677204081876,-0.0950157719686508,-0.2799018215149292,0.1707256546051566,-1.1460564308811778,-0.9004393970292662,-0.1229960407850644,-0.8684005838453516,-0.000854751268803,0.2240121884639678,0.2543899492290928,-0.0397336677362363,-0.6587352430922624
2013-03-22,DGX,56.33,56.6005,56.25,56.56,751361,0.2545188725722903,0.2605005147657148,0.0879167906910942,0.1191652296961102,-0.2564376160825335,0.1959462367668974,-1.1375144219609137,-0.9171427125698908,0.0459061015849911,-0.8376951475461938,-0.0015855614813813,0.7041717438723364,-0.2648765690162997,0.2821675710503984,-1.0748640118793746
2013-03-25,DGX,56.71,57.03,56.18,56.4,889832,-0.2091149610109098,-0.2001805034714488,-0.0047661563644383,-0.1946683754888145,-0.243033565155525,0.1902280379811125,-1.1537101411959323,-0.9145724429832804,0.0331301249445469,-0.5520880794257437,-0.0007794392857322,0.3229673251400654,0.2541343137442167,-0.4393134367608906,-0.3353003116744395
2013-03-26,DGX,56.65,57.5,56.522,57.25,959709,0.9052899830793572,0.9013989087319544,0.3580086788217544,0.2601263023868608,-0.1983679497430823,0.2661202077821875,-1.0728625016008675,-0.8254844397547475,0.2141627779142563,-0.4326836340771936,-0.0016708841548816,1.0599085289852257,-0.2096204693861785,0.7738788789120776,-0.1676145489756625
2013-03-27,DGX,56.8,56.84,56.35,56.4,1143495,-0.9573511849519944,-0.950957511709302,-0.0441399540208858,0.3004122087312922,-0.1958607920792707,0.2183187991197007,-1.071104275892328,-0.7370261041590429,-0.107339752112403,-0.143455080653057,-0.0006394682106923,-0.2421902299208213,0.9050751928605654,-0.5583713759283283,-0.8672632419654773
2013-03-28,DGX,56.18,56.65,55.8,56.461,1933888,0.03433977764712,0.04215102739783,-0.0224875635268729,0.0931404874320977,-0.1909679382889124,0.1862184129506018,-1.068133805087694,-0.7367858534578743,-0.0913903214444535,1.0477093964927668,-0.0020807550734255,-0.1487454954581525,-0.958051887952688,0.3515768565874103,-0.3366573092251377
2013-04-01,DGX,56.42,56.4925,56.01,56.32,695725,-0.1884729791190646,-0.1795969168032275,-0.0927104015092269,-0.1498697743094478,-0.1921209493013313,0.1449761520902104,-1.0691061117750598,-0.734107175952785,-0.1177629926759091,-0.9221613871619272,-0.0008107933954548,-0.36474070134727,0.0338977800389056,-0.1602261310752126,-0.8773330500386756
2013-04-02,DGX,56.68,57.58,56.64,56.8,1224106,0.497612231083912,0.5006828301240283,0.1121437851448562,0.1210482219445344,-0.173836279469397,0.1620145992830653,-1.055941861864651,-0.7117518083949796,0.0449914394611895,-0.0124335362828944,-0.0019003085192796,0.29049581921282,-0.1889731025586746,0.1336378284547924,-0.2120913700733905
2013-04-03,DGX,57.0,57.51,56.725,56.83,1315500,-0.0001132767672348,0.0079144858903162,0.116251042944636,0.2592128768152283,-0.1580392397008908,0.1692422400776798,-1.03782689267945,-0.7308966277309269,-0.0581284158057074,0.1158414812379812,-0.0021688550845671,0.3348182397120546,0.4972910887485711,-0.2516464364209138,-0.44012603720421
2013-04-04,DGX,57.0,57.92,56.91,57.68,914247,0.8981905111237606,0.8944428120465245,0.4803977781970899,0.4041104505087481,-0.1124673717824827,0.2516642478090081,-0.9300970085143342,-0.6544768863301539,0.1818304048234461,-0.5428373344268406,-0.0022087381830352,1.134846486175047,-0.0005642622469743,0.8750029914106591,-0.1319919333231048
2013-04-05,DGX,57.33,57.33,56.62,57.01,1159542,-0.7561736630941364,-0.7482003923868517,0.1312079644467139,0.1833156471492207,-0.10322582719744,0.2240882271465262,-0.970363794284814,-0.7102916297817969,0.2538802089692153,-0.1240089240130212,0.0006366984088994,0.2448568911740016,0.89797386884445,-0.4480254511049103,-0.5534005512490737
2013-04-08,DGX,56.89,57.03,56.52,57.03,585123,-0.0111549493844205,-0.0030618046358421,0.1149466942871372,0.6094791527150133,-0.0957076059186058,0.1975916060927077,-0.9724079188114292,-0.7366301538110895,0.118692856776067,-1.0495143256308077,-0.0018081640363855,0.2303699127159126,-0.756821884311983,0.1596080390991001,-0.8460347838056721
2013-04-09,DGX,56.98,57.03,56.5,56.65,899814,-0.4478312920339877,-0.4387199970011153,-0.0707991720613501,0.0367006930197795,-0.105188097773667,0.1326399142693126,-0.976647608428758,-0.7242736631709452,-0.0630392642491174,-0.4970511214628214,-0.0001506335881645,-0.2873304906562817,-0.011608815338376,-0.4638751521700588,-0.8116124176163596
2013-04-10,DGX,56.64,57.36,56.41,57.3,954341,0.6813503713185707,0.6816044703705972,0.2050580430381545,0.2257740288327035,-0.0878042826245684,0.1498268245805947,-0.9539144182341291,-0.6796182247155355,0.1199822045606948,-0.3400686957515331,-0.0020738912706179,0.598209673006674,-0.4483990750537147,0.8540538270746042,-0.2095819053738357
2013-04-11,DGX,58.37,60.0,58.06,59.83,3202834,2.715919050690065,2.650424718518336,1.2844382356829405,1.1222572089785914,0.0235743709553564,0.4055174488655879,-0.5624585973898849,-0.1368475547815882,0.8397805989641663,3.1477350522293106,-0.0052248404119409,1.3178542253421717,0.6810771613023449,1.8634488480538545,1.1110205223231957
2013-04-12,DGX,59.65,59.66,58.83,59.34,1519091,-0.5428813576815366,-0.5339560506212155,0.989592543313938,0.8145637814085022,0.0898268892384512,0.4939160528685989,-0.3835325387305196,-0.1139070093036917,0.5707496101470753,0.4047841774099775,-0.0055860179855566,0.9574894126548258,2.716176604700712,-0.4189578484194817,-0.4256192621746499
2013-04-15,DGX,59.06,59.55,58.37,58.37,1692119,-1.0506956786031256,-1.0452609079040764,0.4917256198843358,0.4579575915470865,0.1012937348760542,0.4236175577957878,-0.3495803325597331,-0.0383972898570003,0.3941751574452933,0.6130882908348083,0.0073202313649542,0.2441141712125167,-0.5434739366966552,-0.9089906409447548,0.0934836018563132
2013-04-16,DGX,58.49,59.23,57.34,58.35,2329620,-0.0543282470943815,-0.0459981443600179,0.4160869558571501,0.2090742596166784,0.1066684330483144,0.3516976790357209,-0.3793567989362526,-0.0919889173240381,0.5811349943956219,1.430124855918387,0.0016429146839963,0.1702802517798682,-1.051420732661534,-0.2071551544187254,1.1081486592002403
2013-04-17,DGX,58.04,59.24,56.95,57.37,4058951,-1.0786323198058947,-1.073512483225467,-0.0594736814742268,0.1565136134143946,0.069857983120071,0.1855779310180654,-0.4051975238766873,-0.0362346684971088,0.1249485695856393,3.520219872445519,0.0012221377113682,-0.6386920676818191,-0.054793375795856,-0.8984684470902119,1.73533755124714
2013-04-18,DGX,57.31,57.54,55.59,55.76,2459362,-1.7801712282131286,-1.787219488214889,-0.7809437616348852,-0.3992990532887809,-0.0240955104409766,-0.0944030780113869,-0.3599286350533599,0.151060376720651,-0.3623966477973757,1.3330693373099258,-0.0004517315959314,-1.7531597327858424,-1.079364661779591,-2.069681879745348,1.323214754349303
2013-04-19,DGX,55.95,56.71,55.56,55.92,1674086,0.1456496886515408,0.152632232191912,-0.6990055735148497,-0.3087640027769758,-0.0928828738536328,-0.2536106994582369,-0.3376933781514447,0.1509686381103902,-0.266604637403268,0.1844207130685099,-0.0016617084068131,-1.6117745524840006,-1.7810865827436428,-0.0668268914232155,0.1225886197396356
2013-04-22,DGX,55.85,56.18,55.26,55.48,1843646,-0.5228661521249263,-0.5138895015354652,-0.876887493442781,-0.5858545136650979,-0.1645135621353922,-0.3882954658820448,-0.2736781496491847,0.1571396010474853,-0.4479131852115937,0.3249206818323746,-0.0006992169197009,-1.7270158784484804,0.1452367287932901,-0.5268386727771447,-0.2093197450900537
2013-04-23,DGX,56.18,57.24,56.18,56.51,2839605,1.1228399090668284,1.1141773674008808,-0.4061882065646811,-0.2762922887863628,-0.1803621365019696,-0.3524610780710418,-0.2775165613118411,0.2353058347059784,-0.138832970155824,1.3917778372567486,-0.0019427168080294,-1.0046726329704696,-0.5234535097134067,0.4174728600203579,-0.0280375650423353
2013-04-24,DGX,56.33,56.5,55.51,56.09,2388487,-0.495717256100766,-0.4866813515517099,-0.5729406400377978,-0.6407550283755586,-0.2087415082194909,-0.3560476244907138,-0.2512552876123032,0.1938420975557251,-0.4650559443202927,0.7273661749792363,-0.0004553014906776,-1.2992203641362563,1.1226818717489997,-0.348213025885885,-0.1203406471615662
2013-04-25,DGX,56.28,56.52,55.645,55.85,1012523,-0.2993880737106248,-0.2902787237425435,-0.6709218059994823,-0.5328377873007201,-0.2396117605711552,-0.3653283454991837,-0.2255593903783826,0.1512851571697565,-0.3106968474981059,-0.8648644809023408,-0.0009826864128025,-1.4675333533738522,-0.4962975312754035,-0.6035601119598231,-0.2856255677362427
2013-04-26,DGX,55.86,56.54,55.7,56.16,1222226,0.3125722940039646,0.3179434858309635,-0.5214851308675323,-0.4395656428555092,-0.2506828365152103,-0.3217901830679776,-0.2146710058612979,0.1585788921491735,-0.2457726122944857,-0.5908012114881714,-0.0015296958450239,-1.2501290756086294,-0.2999171319032581,0.3794395456033475,-0.3447725860742162
2013-04-29,DGX,56.19,56.5,56.16,56.19,606237,0.0002614556120699,0.0082869651944774,-0.5047323495249098,-0.3261722638614119,-0.257009568428227,-0.2747477932591772,-0.2097162132870265,0.1573365720080447,-0.2013770107459726,-1.3214099141733349,-0.0014014751332634,-1.2290899519539291,0.3122028797458654,-0.0263165508545973,-1.0870367981901514
2013-04-30,DGX,56.05,56.44,55.78,56.33,859012,0.122122754773554,0.1292968819114333,-0.4296116641220304,-0.4940090607912078,-0.2552673375121846,-0.2163445099942293,-0.1991536198861256,0.1417432018609539,-0.2890029756568851,-1.008875655413205,-0.0014813244629877,-1.130907374898665,-0.000189432110111,0.3511053910710351,-0.6148465849572076
2013-05-01,DGX,56.23,57.38,56.0,56.37,1176281,0.0112134634269638,0.0191721345308715,-0.4007182358733036,-1.670760830236408,-0.2511138374354384,-0.1634153180716901,-0.1901425428969911,0.1418199753798334,-0.2863545280770557,-0.6205668473489145,-0.0016001910783715,-1.1028552100257334,0.1217036573735768,0.1617903302136197,0.4489525891486039
2013-05-02,DGX,56.49,57.33,56.42,57.32,1462100,1.0162346758351124,1.0100016437542572,0.0452041742470818,-0.9998558349996004,-0.2097130083927421,-0.0251979809737407,-0.1987352126406867,0.1558104175317052,-0.2591405736137479,-0.3031983197478244,-0.0017527523081366,-0.4366162942935863,0.0107654327878733,1.083755704114247,-0.2682223311064228
2013-05-03,DGX,57.54,57.75,57.18,57.21,1149909,-0.1524723885653718,-0.1437145361420227,-0.0101057497360203,-0.7164348382602276,-0.1808431647263262,0.0531213480621651,-0.1976023691223015,0.1255371604946782,-0.1159542360895029,-0.6745583085746238,-0.000751250500318,-0.5137597476941501,1.0160488280907056,-0.4596166742983754,-0.7609744883268069
2013-05-06,DGX,57.15,58.205,57.15,57.94,1275706,0.7614169507249469,0.7602786410789307,0.3048865759494871,-0.3570062537090194,-0.1294380537386162,0.1737822014399442,-0.1776799120875882,0.1594386652781272,0.066869184982725,-0.5550252865677942,-0.0017059065040794,-0.0018077387631352,-0.1529631204230677,1.018056332378496,-0.0738125693608407
2013-05-07,DGX,57.96,58.12,57.74,57.78,788697,-0.2049202059749351,-0.1959970611797465,0.2049082151797961,0.0006519794698452,-0.0955902684003934,0.2251186301629933,-0.170089047458196,0.1492851266303168,0.1254762886935684,-1.120573899050321,-0.0008989693935858,-0.1140163982548629,0.761164627917167,-0.2609494240237586,-1.0432185587315923
2013-05-08,DGX,57.68,59.07,57.68,59.06,1300812,1.3462058953037888,1.3318861703665756,0.7517067229045867,1.420801601415841,-0.0198576803229504,0.3739985343614215,-0.0885409996313471,0.2232725672969218,0.2836282361907803,-0.5359693516243059,-0.001747163882188,0.7836528776789756,-0.2054246200518902,1.781267768171909,0.3701355360301455
2013-05-09,DGX,59.17,59.41,58.79,59.19,1458034,0.104043321574358,0.1113586946008574,0.8266178376007602,1.4141296417805178,0.0430843836616475,0.4601798688891321,-0.1550246951856958,-0.2468888661496223,-0.324578599248855,-0.2646047224514419,-0.0019337414699068,1.0877957243297114,1.346106128139985,-0.0007793579661556,-0.7183498705770635
2013-05-10,DGX,59.13,59.78,59.05,59.77,1023446,0.5770675107441465,0.5789850333770422,1.0827403091947496,1.8663085114139812,0.1127963032692154,0.546550428344365,-0.1090347301764016,-0.238537802021,-0.0610526778408384,-0.7760667833647719,-0.0018885907192349,1.435524368260493,0.1036195077384769,0.7914264307571205,-0.573441562674958
2013-05-13,DGX,59.56,59.59,58.9001,59.42,1556098,-0.3975654444989591,-0.388414947122996,0.8969670434380076,1.3784766496151102,0.1508341690133744,0.5341184065207877,-0.0331364280227889,-0.3099545369827597,0.0967148781825813,-0.1079792720933999,3.718760509106838e-05,1.1781209306266704,0.5767670961456554,-0.2039063749389803,-0.623689116226324
2013-05-14,DGX,59.45,59.88,59.215,59.87,1077942,0.4384970043121487,0.442361187528384,1.0669835282307183,1.8359951259538851,0.1947484072815633,0.5392984707792867,0.0786176885264648,-0.2985091763933036,0.2151032605335274,-0.6491952941019609,-0.0018494878805459,1.43568355405989,-0.3981201145164453,0.5074387017509032,-0.6656236918476939
2013-05-15,DGX,59.67,60.1,59.26,59.99,1685013,0.0917904025776589,0.099198546493458,1.0592464380367317,2.0783195754701915,0.22992683996743,0.5209567090007207,0.2043197951869811,-0.4035467646753933,0.5032352646509439,0.315834671497844,-0.0024566157928074,1.3673291717964662,0.438160440410493,0.3788547454643307,-0.4243573755585681
2013-05-16,DGX,59.74,60.35,59.46,59.88,1149859,-0.1471548049260695,-0.1384161752684471,0.9110868176967248,1.9269625244260051,0.2489114460510347,0.4646006686741398,0.2424197416261247,-0.7354577542460216,0.9176841696480108,-0.357161011686614,0.0002296925627389,1.13593075168248,0.0913633922860899,0.1507381850420522,-0.352623753793137
2013-05-17,DGX,59.86,60.79,59.79,60.69,972471,0.8091717988629361,0.8071554529062498,1.166091356543136,2.0356462312493955,0.2907867950009987,0.4784362144955527,0.3262292808157886,-0.6987278541820582,1.0852920274417075,-0.5801373846782729,-0.0020563135176483,1.3827669703223155,-0.1476441495697902,1.0212608244075143,-0.2181016351143313
2013-05-20,DGX,60.48,61.0,60.35,60.8,1078083,0.0798460087664516,0.0873422884256474,1.089761581409116,2.031994774501794,0.3228842813869153,0.4643366012349668,0.3440189501199166,-0.7563835905566816,1.2408223191690906,-0.373494381021943,-0.002518760656081,1.3217792426321378,0.8089319340054616,0.373428344174345,-0.7003443181150227
2013-05-21,DGX,60.94,61.62,60.83,61.39,1325183,0.5711526760956891,0.5731594465907685,1.240291900698559,2.0935661490832604,0.3656306899043241,0.4804670528758618,0.4433118935432117,-0.8299002348041419,1.1008005524903068,0.1360348290141094,-0.0041462655958078,1.3177458956279495,0.0794158825050841,0.5315814360540297,-0.5188482712106645
2013-05-22,DGX,61.36,62.24,60.9748,61.12,1457065,-0.3068137678377615,-0.297695870710811,1.0009559097839893,1.7414144797621172,0.3827729978330985,0.4274669000381734,0.4521929220067847,-0.8574860931952732,1.1495732210350773,0.4474793623915707,-0.070316233856684,0.8783475434081086,0.5708507184765625,-0.3218254889007669,0.1338537028288165
2013-05-23,DGX,60.7,62.07,60.6901,61.97,1116784,0.8328307218990814,0.8303662349871637,1.2374435804080082,1.955489737039272,0.4232357483553213,0.4450931955511121,0.4673928884736129,-0.8570226176406157,1.441863839047086,-0.1428176635524839,-0.0034589016493849,1.3056418997296622,-0.3073447631934687,1.5544209640349689,0.264445853489255
2013-05-24,DGX,61.64,62.56,61.44,62.5,1383721,0.4994674049755155,0.5025122107345653,1.3245467702162004,1.9301923307936584,0.4690581042865788,0.4729897640207732,0.5022630906975808,-0.852314637900745,1.4905131490456518,0.2957456041500846,-0.0148731769591499,1.4134612164633054,0.8325970290157404,1.0277803868158146,-0.0978557023894178
2013-05-28,DGX,63.0,63.3,62.58,62.76,1301828,0.225997392942382,0.2322594127341578,1.286399948967878,2.0894428486736776,0.5080524631827269,0.4777318719694728,0.5044566110812283,-0.8626099322511737,1.5497437360941555,0.0950042470873406,0.0020358756933279,1.2041742268978135,0.4991467466049458,-0.3141328752754381,-0.6352146151075945
2013-05-29,DGX,62.69,62.85,61.86,62.55,865768,-0.2413164362113777,-0.2323045521431699,1.0507381805044549,1.725900094493663,0.5229665189416757,0.4195432725864347,0.4442735248637897,-0.8319593752290453,1.4542226420513342,-0.621943061061953,-0.0022422688294801,1.101353251770712,0.2256053936304681,-0.1950396314490438,-0.2722599404389102
2013-05-30,DGX,62.51,63.02,62.26,62.42,1051695,-0.1623892464859934,-0.1535967565486915,0.8562392236417732,1.583243429952067,0.5219568502486844,0.3320050004615008,0.3217995613671326,-0.8175302827425613,1.4087803606642784,-0.3077091176714832,-0.0031404151049625,1.0176927415897783,-0.2418303450819562,-0.1350937171390643,-0.5766002043573604
2013-05-31,DGX,62.2,62.85,61.83,61.84,1261972,-0.6114911047174412,-0.6027911939847836,0.5024032458460013,0.946775234304923,0.490974625274658,0.1848255388601936,0.2149111683195151,-0.8015436109932694,0.9906389578743408,0.0566672613246874,-0.0084439980085559,0.6537234603772729,-0.1628825653841255,-0.4635937640020118,-0.2166848889902383
