date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2013-03-11,HBAN,7.33,7.43,7.29,7.4,8649966,0.3053628563970897,0.3108127552602793,0.9562713659258264,0.4288041067850762,-0.1258195660996226,0.0729770983450764,-0.0332324563770463,0.1114890994539427,0.2404827591299213,-0.5229510909801559,-0.000157849228787,1.1619620025498605,0.1362290770012418,0.69518753662602,-0.0146049415365293
2013-03-12,HBAN,7.38,7.43,7.34,7.38,8429609,-0.2012610092640796,-0.1923479636927435,0.8326897408015442,0.7757620373969837,-0.1204404348694652,0.071196722089866,0.0557227599595117,0.0775722988826023,0.3688296338220322,-0.575152507724306,-0.0020028085674314,1.0683230860021824,0.304991561391403,-0.0263165508545973,-0.5749719570968962
2013-03-13,HBAN,7.37,7.47,7.355,7.47,7831043,0.726248316687061,0.7257339226836403,1.1161356907033908,1.4907370953607424,-0.1130286437235714,0.0750044527173447,0.1847052218436038,0.0676802152584089,0.3410600834706629,-0.6473802450238489,-0.0002702407127563,1.442878752192886,-0.2017644687554259,0.9988094350405152,-0.3082986234457094
2013-03-14,HBAN,7.46,7.5,7.43,7.495,12369996,0.1753641895405993,0.182092200320118,1.1377508204287985,1.3673169519062538,-0.1066377412786844,0.0754228872771426,0.3183674947980059,0.0161402811501744,0.5843590354476157,0.1360118182751627,-0.0001051811890749,1.42071754194327,0.7259868193323559,0.3281489291207997,-0.8129569677275902
2013-03-15,HBAN,7.5,7.55,7.45,7.509,14791827,0.0832964886334437,0.090767540962023,1.1239777143244172,2.3932137075761606,-0.1015474896720798,0.0724097820574454,0.4394837374314124,0.0138779431961335,0.5269080275141053,0.521477794672041,-0.0002779188570991,1.2725144483989606,0.1749589813932189,0.0643455913379701,-0.4814442982167578
2013-03-18,HBAN,7.38,7.49,7.29,7.43,7647722,-0.6879947063074936,-0.6796364733192424,0.7723136299644469,1.9013663089623205,-0.1011526384624796,0.0579134180893099,0.4919148852954633,0.0185189920824718,0.5151373236747834,-0.6913378492379325,-0.0016128524922591,0.9442515215765116,0.0828672625090966,0.4855519122922169,0.6520370471672912
2013-03-19,HBAN,7.48,7.51,7.41,7.48,11007371,0.3859678701285042,0.3904910874562113,0.8904535477576127,1.683726171827679,-0.0994219992905143,0.0497546221348535,0.562017420933761,0.0205410319505269,0.5318825511604851,-0.0888626605306069,-0.0006279725353343,1.1520128676666703,-0.688625141476622,-0.0263165508545973,-0.4771412890767651
2013-03-20,HBAN,7.5,7.53,7.46,7.5,8106789,0.13346929785359,0.1405521262336555,0.8706866330691944,1.7132231867506884,-0.0978317389809782,0.0428662525959635,0.5912138838551699,-0.0918711398342863,0.8591149567046501,-0.564796627977447,-0.0008720628350722,1.235117406102731,0.3856176027942389,-0.0263165508545973,-0.8134758790138277
2013-03-21,HBAN,7.46,7.53,7.42,7.45,7950775,-0.448049626375552,-0.438938590795248,0.5791316663996462,1.3281297762580593,-0.0990930840664544,0.0300155737673796,0.4872624138627582,-0.2339378393835493,1.095651944721659,-0.5137735378159888,-0.0015633935378023,1.027356060012576,0.1330531604602998,-0.1275924022761368,-0.360787722764072
2013-03-22,HBAN,7.45,7.48,7.34,7.38,22532171,-0.6179708920316349,-0.6092962254505319,0.252601740724558,0.560843288188401,-0.1033523612860342,0.0120184049995782,0.4147547325717525,-0.2417351134204805,0.674159125836724,2.0988126197153,-0.0022702486243446,0.7364901754863564,-0.4486174663528129,-0.7361990959865335,-0.0103319904374749
