date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2013-03-11,INCY,23.48,23.7,23.06,23.39,774313,-0.403422105516684,-0.394274072588955,2.221739856925302,0.902535460331788,0.4105784295761558,0.2229369946390162,2.980931343152464,2.008634067363595,3.896977529434846,-1.2185726341294532,-0.0013633214537129,1.256868593960545,1.3185695547569911,-0.3159102759160239,0.6890587369698107
2013-03-12,INCY,23.43,23.65,23.03,23.48,721314,0.2065603218423546,0.2130060328100687,1.9936588019637949,1.698034574885718,0.4120224414935649,0.1810357097555687,2.582615440127701,2.0047812143832537,3.928118558669655,-1.264486405138143,-0.0011252468226064,1.3108715431247733,-0.4039783033788762,0.134912184016233,0.6093291109628399
2013-03-13,INCY,23.52,24.53,23.36,24.49,1875780,2.64505412192122,2.5828918262196674,2.806095550230541,2.188455815277896,0.4460777715841698,0.231455653435321,2.253635557579502,2.0927681445138093,4.672227478969352,-0.0596264763255111,-0.0009496518671456,1.4220047707960717,0.2061632519234701,3.089552139862064,2.3902524656089965
2013-03-14,INCY,24.14,25.29,24.11,24.95,3116066,1.1364076829322196,1.127423370102124,2.935135871393318,2.236368379467147,0.4838962614844993,0.2814779169480063,1.925421911969373,2.093833678746972,4.793663102058975,1.208116056656245,-0.0008023764541327,1.280490573639661,2.645293189185591,2.5087682039084784,2.3502477948254463
2013-03-15,INCY,24.78,25.16,24.56,24.84,1970285,-0.3074803767127691,-0.2983617557660692,2.529273250224623,2.328390109128268,0.5020550500407758,0.2708919949327565,2.011550954917029,1.0428527010881394,2.889839778813259,0.1807728707824969,-0.0014830046338939,1.144894351426129,1.1362531850802076,0.1566175536501688,0.4217403318758135
2013-03-18,INCY,21.82,23.8,21.61,23.79,8915400,-2.664676372097893,-2.698952352756413,1.1985456453059693,1.2973432778966636,0.4680312956179221,0.1281062899946758,2.0543785897594717,0.7832502521566906,1.0274741247339203,7.316662920048397,-0.0024330994008112,0.4019033229311446,-0.3080115459687307,6.794811623578306,6.08065934725645
2013-03-19,INCY,23.84,24.0,21.99,22.53,3192074,-3.3303952548301234,-3.39412927720386,-0.2998776867463381,0.2346442271424857,0.3853410195503408,-0.1113890628938715,2.0143905778987183,1.2679384631110917,0.2826597464119302,1.2338695944891445,-0.0019890352005972,-0.4725160376487168,-2.665822470135234,-4.177861792474382,5.843879243113595
2013-03-20,INCY,22.7,23.15,22.59,22.86,1124389,0.8789059709088293,0.8755437815631929,-0.0145042966557593,0.1240335939469509,0.3273263835875381,-0.23947067235666,1.872372492836141,1.123727965255418,0.9825075880439756,-0.8820433423248749,-0.0008831194617856,-0.243501443211135,-3.3317150209468696,0.5062070449901259,0.4502719508689327
2013-03-21,INCY,22.86,23.15,22.6022,22.79,1063133,-0.2236374527148869,-0.2146660134058615,-0.199198199932801,-0.0204791720304075,0.2737427962201503,-0.33053051712109,1.662667929764078,1.09896751406562,1.0995704586854247,-0.8475238746870508,-0.0015437079642632,-0.2920802965766831,0.878684297813737,-0.2576649743556002,0.4119285207940646
2013-03-22,INCY,22.87,22.9,22.52,22.57,662347,-0.6339950886720251,-0.6253857850355111,-0.5382217559563808,-0.2661224077159175,0.2184053972995715,-0.4078926736793561,1.444648327224685,1.1279150084208855,0.9005088279991513,-1.2634588885052511,-0.0014530483673042,-0.4447566928684043,-0.2241467496160752,-1.0173762599993752,-0.1881548031541491
2013-03-25,INCY,22.41,22.51,22.01,22.15,1308594,-1.1915417120549374,-1.1878262356488851,-1.0904615217997922,-0.4223702022685661,0.1545431284665108,-0.491725267328342,1.1805131618340534,1.1786690572641705,0.7482311737328149,-0.5289596478055858,-0.0016923538046561,-0.7362298130616933,-0.6346114367991202,-0.902865597785536,0.2899596035691952
2013-03-26,INCY,22.28,22.28,21.9,22.05,642029,-0.3140707044448266,-0.3049453129640569,-1.264046834618476,-0.6547466305508898,0.0971798882999416,-0.5420629543382594,0.9304149112095828,1.1865443030061862,0.5962796807733469,-1.2963680030583282,-0.0015059686207843,-0.8056281750124745,-1.192303509040061,-0.806249701074891,-0.155064194136293
2013-03-27,INCY,22.06,22.81,21.47,22.67,1023815,1.7175700906951803,1.692159036431221,-0.6157712455505541,-0.3552463293717939,0.0735753278261552,-0.4954388435596528,0.7734858374133167,1.1502611484547358,0.5315593720935372,-0.8604194919261648,-0.0007789042518776,-0.8370572761053666,-0.314603592939328,2.0628307269281296,3.334867155662759
2013-03-28,INCY,22.61,23.44,22.59,23.41,903695,1.9992469101440664,1.9640319258417007,0.1570292485841586,-0.2424005102395755,0.0813577292102346,-0.3773500554290932,0.7057858647337648,1.1947417076943967,0.6121059756871183,-0.9794800864172336,-0.0008919407428218,-0.193105878799754,1.7175672024216206,2.646900084633067,1.4347218191523898
2013-04-01,INCY,23.42,23.45,22.69,23.0,695053,-1.123376024872171,-1.1187874647160103,-0.3378152406594788,-0.3557691439696994,0.0688991634940689,-0.3349789258002155,0.6620489422379311,1.242521199248353,0.1856279808260339,-1.2024797075393814,-0.0014822208380204,-0.5498897610907023,1.9993175037462885,-1.3812161993344243,1.1625479681329516
2013-04-02,INCY,23.06,23.45,22.67,22.77,1593317,-0.6555764180374849,-0.6470617544607089,-0.6008672178500044,-0.4865660026868726,0.0477275521720605,-0.3235092514948247,0.657966573134551,1.2433282775437329,-0.1351561981320145,-0.1655859550292201,-0.0018436179569778,-0.7500368170100152,-1.124120039270258,-0.9764474136705666,1.263567191258925
2013-04-03,INCY,22.89,22.9,21.57,21.88,2066258,-2.466445905754148,-2.4934493424876414,-1.567817989415093,-1.3018895468480478,-0.0057079554382109,-0.3973802256859398,0.7771988918009938,1.4552355450273524,-0.65421632835871,0.3185253966675964,-0.0022373446988852,-1.5245189029586594,-0.6561983961506285,-3.359968932334496,3.474642399761497
2013-04-04,INCY,22.06,22.14,21.545,21.62,812495,-0.7728081888300489,-0.7649403708432173,-1.7908561874477316,-1.6512180102685343,-0.0593009988366416,-0.4568824994456359,0.960167755437882,1.4280206353458034,-1.0306394159627452,-1.1002975748056565,-0.0018522870718543,-1.7507720966065763,-2.4675402908158435,-1.533242456140484,0.702284389315925
2013-04-05,INCY,21.34,21.5,21.01,21.37,611251,-0.7529085950704133,-0.7449151571213606,-1.9873898611204424,-1.6815516586032109,-0.1120176494437878,-0.5022284984953913,1.175143074342131,1.4335536595559235,-1.2260819084816583,-1.325378794313646,-0.0018303825380972,-1.6016987306983703,-0.7734607495464607,0.079894955931447,0.3196270130085932
2013-04-08,INCY,21.46,21.62,21.08,21.27,647252,-0.3243298638218398,-0.3151953259140824,-1.98170403222474,-1.4474574197298529,-0.1576108379756897,-0.5201696289811757,1.3587658944288872,1.339119753492087,-1.5780847657540724,-1.268328478032399,-0.0020321640490157,-1.6793665236292707,-0.7535559645201826,-0.6952279758541037,0.5245230188833498
2013-04-09,INCY,21.5,21.84,21.2,21.48,449923,0.5816813370470979,0.5835288619938965,-1.6378152647066615,-0.8268736052535451,-0.1850421746572576,-0.4877742393563352,1.4736846426737324,1.367788723314226,-1.3667633789574327,-1.4996392712248283,-0.000475775053176,-1.5162641584743817,-0.3248654286539839,-0.0965972812364285,0.8918301909289575
2013-04-10,INCY,21.62,22.07,21.435,21.9,1149022,1.184339885691449,1.1741961442859132,-1.066653848611252,-0.7615727548840934,-0.1897610344120533,-0.403396403033503,1.4980472829337854,1.4355272742825806,-1.1557541319521374,-0.6710346361487813,0.0002918383131631,-1.1900594281646053,0.5813821260712972,0.9521524521487068,0.8251804643371796
2013-04-11,INCY,22.01,22.67,21.97,22.47,1559573,1.5874186315688366,1.566133203105401,-0.2922881553380149,-0.3623094520768319,-0.1707953723370487,-0.274930582505262,1.291591186788145,1.2492496157209931,-1.378862414271783,-0.1627965171051276,9.85261243986445e-05,-0.7473530084584783,1.1841978920567742,1.5526848654932452,1.004964547742633
2013-04-12,INCY,22.4,22.48,21.69,21.92,647569,-1.5568910419043045,-1.5591727853689472,-0.7589664977938843,-0.520909089919109,-0.177065583165161,-0.2371146285094492,0.9007776462727448,1.2201224845420158,-1.9510539052468012,-1.2008842321778377,-0.0016181678654511,-1.15238586981041,1.587381790294206,-1.6452833757218024,1.4122928306695437
2013-04-15,INCY,21.78,21.88,20.91,21.03,860512,-2.5608086969629595,-2.591188993044515,-1.5885548004354153,-0.7178338927722242,-0.2162644592165435,-0.2916196827431943,0.5341521560126864,1.3825995492971954,-2.420124037670888,-0.882007563675886,-0.0018196895267432,-1.7522083566110636,-1.5577481486636775,-2.627962045361142,2.252738552110712
2013-04-16,INCY,21.36,21.52,21.04,21.14,1217574,0.2926522748200835,0.2982389373395908,-1.3099284581737245,-0.6179884088473314,-0.2419083029118222,-0.3003333061902455,0.4073038590731214,1.2206136452277687,-1.803431393748274,0.1696987420952962,-0.0002120391253906,-1.6338717970257326,-2.561927698728705,-0.8044716414586857,0.3009945682844748
2013-04-17,INCY,21.08,21.21,20.59,21.2,1134150,0.1437060501325283,0.1507047542667673,-1.1631319340874615,-0.950190046346216,-0.2585852261420003,-0.2842235060328037,0.4817239754306215,0.8511389946224533,-1.0344592337516134,0.2283954982648857,-0.0005426433801621,-1.1722990307601255,0.2922776639669003,0.4037695126774938,0.8460031137150439
2013-04-18,INCY,21.34,21.34,20.69,21.14,813661,-0.2091980359722018,-0.2002633572441135,-1.1361821229372209,-1.5239908842711978,-0.2727155899245406,-0.2647808657266712,0.5016966503297184,0.7961350160804009,-1.2725016728775955,-0.3882962793248308,-0.0016437792262962,-1.242037104972204,0.1432925832314741,-0.7343932627615306,0.9711906914357444
2013-04-19,INCY,21.29,22.04,21.24,21.7,684483,1.6162234933344766,1.5940471013414743,-0.4035221664369222,-0.9313035823816268,-0.2605673336144136,-0.1815860377395744,0.4423860493936788,0.94242365994983,-0.8699051627445128,-0.6241203236387548,-0.0008483174299796,-0.5911484123261228,-0.2097035660194845,1.4286497204367474,1.4811501703421326
2013-04-22,INCY,21.74,21.88,20.97,21.46,1019938,-0.7215641997179981,-0.7133860235011191,-0.6255360583523538,-0.9355668251420112,-0.2590945631478923,-0.1425086921369564,0.4219983080126795,0.9461573843623434,-0.8897662702869917,0.0337139863240574,-0.0017572630789938,-0.8701007091744423,1.616194166470433,-0.9993846209986376,1.9427013481084143
2013-04-23,INCY,21.52,22.72,21.44,22.67,982510,3.4773592865512755,3.3714522197308767,0.7935028464579456,0.234991035856497,-0.2095872177370319,0.0123933533551406,0.4769307631531774,1.386814799105082,0.177308862907312,-0.0090902858353731,-0.0006342192461854,0.5362837874358449,-0.7222033922614454,4.011069737925176,3.114291436883052
2013-04-24,INCY,22.6,22.73,21.99,22.16,919212,-1.4335959162001402,-1.4336046254760275,0.1758565705296344,0.0881969972956328,-0.1899304016405651,0.059480241158946,0.4809358473934002,1.459986090540159,-0.0942107162880451,-0.1668700645932729,-0.001709624011012,-0.0564898433668394,3.477815479757496,-1.4972362619433992,1.1917192310031617
2013-04-25,INCY,22.36,22.835,22.0,22.77,736004,1.680785675095084,1.6565666336296745,0.9002353929638739,0.48723368377337,-0.1503087723872732,0.1485388367810812,0.4972852622250404,1.4555089924253335,-0.1026928759663337,-0.5188636015671406,-0.0007932346781841,0.652513911122643,-1.434420858590684,1.359024769171911,1.4648736141549017
2013-04-26,INCY,22.78,22.83,22.18,22.5,676468,-0.7712336418490684,-0.7633556482589366,0.6329749947403736,0.3890123533975135,-0.1297350013487148,0.1707568541356158,0.2891624842004541,1.3167826803303038,-0.7383765678969739,-0.6257252198934489,-0.0015982435903623,0.3386925771682821,1.680773190760822,-0.954960091018412,0.8163009207518941
2013-04-29,INCY,22.57,22.75,21.89,22.02,521386,-1.3611675096880382,-1.359959510926111,0.1163376471797975,0.0542901734994902,-0.1324897228712198,0.1284841297580903,0.1344337265141102,1.3362366311478313,-0.7932516683204222,-0.9409809492704556,-0.0015569992994482,-0.2192120165283609,-0.771885791808692,-1.8674101192311408,1.6635870387871523
2013-04-30,INCY,22.02,22.34,21.7,22.15,705906,0.3345582201097543,0.3396843171435373,0.3105705754645251,-0.0711349351473043,-0.1297570092279121,0.1087905139087864,0.0293117629748152,1.3337222320995716,-0.5673742137168722,-0.4777687248478136,-0.0007628475462618,0.3635990322440237,-1.3619735574631828,0.4197203279310988,0.8167189837520467
2013-05-01,INCY,22.04,22.1399,21.27,21.52,1158274,-1.8037664098284192,-1.811367515024333,-0.4267313848958124,-0.6325869072298912,-0.152325586364539,0.027910534313778,0.0388225652524663,1.2310020111792284,-0.4091203604351095,0.6609155655204676,-0.0019140096844477,-0.5042476271999343,0.3341945413860674,-1.808845057362964,1.777552186222889
2013-05-02,INCY,21.8,22.1,20.9,21.47,2130112,-0.1776476171655008,-0.1688049139824354,-0.4780809714957261,-0.4171985094440912,-0.1718937830402161,-0.0290705217061391,0.0485991672553247,1.2116550622838549,-0.2693725291648186,2.578689789602379,-0.0028711551467466,-0.5782828507509932,-1.804687919704652,-1.169990362916765,3.066758585203796
2013-05-03,INCY,21.96,22.89,21.64,22.24,1108686,2.1998259818158044,2.1569045896883687,0.3968552854319311,0.4375736777425443,-0.1569844055831395,0.0140893157774614,0.0493707199041663,1.3650474291086765,0.4304312431255078,0.2993276236969855,0.0008083812526335,0.5034361437852221,-0.1781449165605056,0.93700311421514,3.0928520853200165
2013-05-06,INCY,22.1,22.585,22.0,22.54,503350,0.8068156138535852,0.804843421630626,0.6791172235212284,0.5125346180629047,-0.1335189438076555,0.0706403995102231,0.0663002595642604,1.373708008405487,0.7094350337517439,-0.9721721608514436,-0.000707241703642,0.9370250399733744,2.19994890108138,1.4778818867294137,0.5716930754615814
2013-05-07,INCY,22.16,22.75,21.74,21.88,726183,-1.8559909298778616,-1.864849193179056,-0.1367590223202889,0.1201997599132358,-0.1409682578075491,0.0363071658365809,0.0429890483326545,1.5039683245188324,0.1060155925281038,-0.519764245788512,-0.0018902833001062,-0.0168705316405588,0.8065751343310682,-0.9809419951204684,2.255763290746089
2013-05-08,INCY,21.71,22.22,21.5,22.1,675344,0.5929988495299879,0.5946732612709134,0.1148700634886615,0.2369955275471957,-0.1383153802055816,0.0348434461755162,0.0477352698815005,1.4678466644344514,-0.0333532098193493,-0.5907325362068913,-0.0004571770781096,0.3010946588974222,-1.8569260637211025,1.3309011466388785,1.1238534122749426
2013-05-09,INCY,22.41,22.67,22.055,22.37,661465,0.7276225146232365,0.7270841033041412,0.4445031623276944,0.1218896415048912,-0.1258325556817766,0.05897458460472,0.0340659258879779,1.3955246112606825,-0.2328376507290713,-0.5491061661246517,-0.0006430509338081,0.6913246654667581,0.5927025909875755,-0.1611702503824304,0.69989775394619
2013-05-10,INCY,22.38,23.36,22.22,23.29,559412,2.527459678838864,2.4706638335485103,1.4600587293217928,0.5779970638491461,-0.0805008235557514,0.1628320180348918,0.2608713985022285,1.5161849145463375,0.7504323951834047,-0.7735142091539461,-0.0008256765711713,1.3588741646040865,0.7273613757596639,3.045717608932166,2.4880483377800324
2013-05-13,INCY,23.36,23.94,23.2201,23.89,979446,1.5709035919481693,1.5501233125626444,1.9923019106779376,0.3709181736283637,-0.022399651402468,0.2787862835881947,0.5109740730846264,1.2831841377386235,1.8298379158341451,0.1658286117396105,-0.0006079336805705,1.3932641023803112,2.5276680688885595,1.6878292597211395,0.920065154859296
2013-05-14,INCY,23.84,24.86,23.84,24.49,1783798,1.530621474702458,1.5110559415357825,2.485940976182092,0.865560557504563,0.0450439461607399,0.3955969382097241,0.8779786328852703,1.329527085000968,2.159861786637202,1.8574693074002664,-0.0003018365937338,1.154834918737681,1.5708624423456743,2.033610477430026,1.8797939575714468
2013-05-15,INCY,24.43,24.45,23.66,23.83,914863,-1.710836171637315,-1.716314332074967,1.5436690299326448,0.2871052570302909,0.0700155318239511,0.3797232344156999,0.9385316327480854,1.4887416938160347,1.6544865046850254,-0.0191195800990203,-0.0016030837278112,0.6217979407862257,1.5305698165833537,-1.8818659203299204,1.1715497358307294
2013-05-16,INCY,23.71,23.77,22.62,23.17,1327701,-1.7573059360043473,-1.7638274344569258,0.6483438258963116,0.0950510001745852,0.0614267482132243,0.2806404585982086,0.8250162690741454,1.628216853206657,1.242820851717176,0.8142565382231659,-0.0018437515980678,0.0242255203045511,-1.7117334385238956,-1.7470235937332883,2.5451451551720385
2013-05-17,INCY,23.26,23.43,22.74,23.04,809187,-0.3823074316928463,-0.3731531171446108,0.4170654099861448,0.2663628003846477,0.0472628865181035,0.18702408292781,0.7783609601992943,1.5742248476540277,0.7394344030325752,-0.3135775765833934,-0.0017102863571137,-0.0849016513791691,-1.7582153255975794,-0.7409078120456375,0.9045612055403536
2013-05-20,INCY,23.02,23.88,23.02,23.15,1274081,0.26424285125575,0.2701259591237456,0.4445943862519242,0.2587912055073207,0.0382302096747728,0.1253385638686255,0.6768794879748325,1.5449631075052213,0.9891059340706968,0.6445585544216177,-0.0003573310292831,0.0074367246608994,-0.3828581213068194,0.4003442689047871,1.5047080168634284
2013-05-21,INCY,23.15,23.23,22.13,22.26,3209407,-2.426501588353412,-2.452122014828411,-0.5627691728578128,0.1297722381532077,-0.0055865049109233,-0.013543365733744,0.6925028917333702,1.354144391683897,-0.4330916520736826,4.023361404351998,-0.0029335555934607,-0.7396646814814765,0.2638608291511282,-2.9308992200908017,2.527047396124717
2013-05-22,INCY,22.24,23.17,22.03,22.32,1235415,0.1348153787773478,0.1418872403110198,-0.5023586385504092,0.1766214838459127,-0.039194558303121,-0.0983719912417494,0.6801817161008616,1.2818634335069043,-0.0614368809883898,0.2573639474499045,0.0004229842862387,-0.6892982945505306,-2.4275855530213555,0.2454524605140062,2.665332883829224
2013-05-23,INCY,22.11,22.69,21.56,22.17,1270757,-0.4513968326926769,-0.4422898712968682,-0.6420982047599912,-0.2220970041171862,-0.072591873102577,-0.1656924541382203,0.7006608068189667,1.173289024313283,-0.5544743019748054,0.2662599278137989,-0.0023134231281102,-0.8152142618778966,0.134399592540221,0.1787086463244336,2.6565412702229003
2013-05-24,INCY,22.14,23.11,21.912,23.0,1130052,2.2978190730430152,2.2509146927632795,0.2914646029338119,0.0115039862889505,-0.0673144925014499,-0.1200008242642973,0.708611472236397,1.356913432110912,0.1588908173613601,-0.0306525866781698,0.0003075423214094,-0.1184792426664664,-0.4519655458656778,2.908395971187146,2.7496478062447456
2013-05-28,INCY,23.08,23.89,23.07,23.71,930166,1.8888825058174623,1.8576510117294287,1.0121877303751197,0.6027749547800046,-0.0364654217064395,-0.0176264300129113,0.7525136137281733,1.3878722965242614,0.9596923820762014,-0.41615587177444,-0.0004239956633573,0.4775230026830723,2.297967556059883,2.035972212191171,1.290983333819667
2013-05-29,INCY,23.57,23.6,22.85,22.98,675807,-1.9498398799965424,-1.9610735440651903,0.1209118275335385,0.1652217928156569,-0.0419593792199493,-0.0292732438466844,0.7219774806422686,1.5455482942477652,0.3828542512001146,-0.8598173867440495,-0.001702037676693,-0.1352680383101148,1.8889243083268807,-1.9175152460042504,1.128678031079653
