date,Name,open,high,low,close,volume,return,log_return,close_to_SMA,RSI_14,MACD,MACD_hist,BB_width,volatility_20,price_momentum_20,volume_ratio,OBV_change,close_position,return_lag_1,daily_return,price_range
2013-03-11,MOS,60.58,61.87,60.28,61.5,4170937,1.2903232528330564,1.2774906245919904,0.8145227948401211,-0.1786348415356728,-0.3088334936023052,0.538969240666888,0.5385831324854794,0.3813818712910461,-0.1435574879566164,0.6203435609077877,-0.003218145083735,0.99313654418596,0.9433546380326427,1.1210529167524113,0.5633422156884773
2013-03-12,MOS,61.95,62.38,61.54,61.9,3271100,0.3719342821423103,0.3766262074381512,0.9738081319187656,0.942189442056832,-0.1968122893407893,0.718485296127775,0.5813889782109068,0.3842212397544796,0.0150840191117729,-0.0191990762720682,-0.0066182569279414,1.188676634623753,1.2902089073968892,-0.0872945856895259,-0.4603655509400424
2013-03-13,MOS,61.84,62.2,61.5,61.76,2211126,-0.1738058209160134,-0.1649754086932933,0.9057794360478846,1.2608289170503555,-0.113927322610861,0.7871019666592974,0.596934883092148,0.380382296739633,-0.1029889293851443,-0.6822817610141421,-0.0051209327181037,1.120237602970525,0.371580353823903,-0.1240549533907877,-0.6467221912021867
2013-03-14,MOS,61.81,62.34,61.5,62.34,3030364,0.5516811225761427,0.5539778226648105,1.1586457286368337,1.4971439497799397,-0.0268013144561239,0.8529116707040767,0.6073262438919995,0.3713822717878632,-0.1344204073886316,-0.1990778930386097,-0.0146169944437665,1.4037707341053285,-0.1743021180901208,0.6215146436940066,-0.4683479325939287
2013-03-15,MOS,62.05,62.74,61.93,62.69,5864489,0.3165437889101515,0.3218712722703373,1.2966556271396692,2.373953952446524,0.0537059173102705,0.888522817455995,0.6599885780162014,0.373488405078852,0.0007620008844473,1.363070170009967,0.0055344668558438,1.4195347807220802,0.5513740853545136,0.7529444080930396,-0.5144999083466714
2013-03-18,MOS,61.82,62.178,61.24,61.93,2866946,-0.7877592987371279,-0.7799901246423245,0.9670499070626464,1.846907996402545,0.0849231187636782,0.7901400453408095,0.6435265036252704,0.4034160556458859,-0.2265254762420623,-0.3732748356865237,-0.0022052746913052,1.0647064143658602,0.3161754107078271,0.1081172305697258,-0.3290321836003027
2013-03-19,MOS,61.94,62.17,61.0,61.34,3361718,-0.6261212186396394,-0.6174792748945197,0.7093895839972344,1.1814314114891888,0.0837812361779888,0.6281421023812066,0.6376201542967127,0.3946155022306273,-0.1961522823227124,-0.1220626484944627,-0.0029707307957964,0.7892475510103742,-0.7884157597943742,-0.7581711052020562,-0.0016792097289719
2013-03-20,MOS,61.74,61.94,61.33,61.47,2793440,0.0989495858171372,0.1063038152355891,0.6994051550680196,1.1170567900134336,0.0853129437569823,0.5054255230725923,0.6674995074598334,-0.1704114625484958,0.5755103443272549,-0.3986529780067631,0.0025625046780466,0.8499418768344628,-0.6267355126866695,-0.3567179436846452,-0.7642875535317499
2013-03-21,MOS,60.87,61.045,59.99,60.04,2817371,-1.481328459237926,-1.4821869467754003,0.0186666071979461,0.3914179749394677,0.0282267611759841,0.256370819438308,0.6161444246486311,-0.0629018348965539,0.4201885515406631,-0.3329530329520156,-0.0028612828059564,0.1823042927694677,0.0985244431631485,-1.056511748541307,-0.126890080823504
2013-03-22,MOS,60.17,60.335,59.45,59.71,2473201,-0.375187121907973,-0.3660323132121506,-0.1754616633658105,0.3008761908890416,-0.031336717403786,0.0507505392757391,0.5406581843547962,-0.0593479436537482,0.4049585978960153,-0.4961694384518521,-0.0046517366283393,0.0282340810621621,-1.482165853759977,-0.6039103878799637,-0.3560758601578237
